"long","lat","variety","seeding_rate","seed_spacing","speed"
-91.8464001996778,40.3768225515063,"P1498",34.4701,6.0658,3.71
-91.8463998996778,40.3768375515063,"P1498",34.4311,6.0727,3.72
-91.8463996996778,40.3768523515063,"P1498",34.4351,6.072,3.72
-91.8463994996778,40.3768672515063,"P1498",34.4121,6.076,3.72
-91.8463993996778,40.3768821515063,"P1498",34.4411,6.0709,3.71
-91.8463989996778,40.3768971515063,"P1498",34.4361,6.0718,3.72
-91.8463982996778,40.3769121515063,"P1498",34.4071,6.0769,3.72
-91.8463986996778,40.3769271515063,"P1498",34.3911,6.0797,3.73
-91.8463985996779,40.3769419515063,"P1498",34.3861,6.0806,3.72
-91.8463982996778,40.3769569515063,"P1498",34.4121,6.076,3.72
-91.8463978996779,40.3769718515063,"P1498",34.4031,6.0776,3.72
-91.8463973996779,40.3769868515063,"P1498",34.3601,6.0852,3.72
-91.8463971996779,40.3770018515063,"P1498",34.4001,6.0781,3.73
-91.8463975996778,40.3770167515063,"P1498",34.3811,6.0815,3.72
-91.8463968996778,40.3770317515063,"P1498",34.3581,6.0856,3.72
-91.8463967996778,40.3770465515063,"P1498",34.3251,6.0914,3.71
-91.8463964996779,40.3770615515063,"P1498",34.3341,6.0898,3.72
-91.8463970996778,40.3770766515063,"P1498",34.3511,6.0868,3.73
-91.8463963996778,40.3770915515063,"P1498",34.3321,6.0902,3.73
-91.8463966996779,40.3771065515063,"P1498",34.3241,6.0916,3.74
-91.8463966996779,40.3771215515063,"P1498",34.3191,6.0925,3.73
-91.8463966996779,40.3771366515063,"P1498",34.3271,6.0911,3.74
-91.8463965996778,40.3771515515063,"P1498",34.3521,6.0866,3.73
-91.8463964996779,40.3771665515063,"P1498",34.3161,6.093,3.74
-91.8463965996778,40.3771816515063,"P1498",34.3171,6.0928,3.73
-91.8463961996779,40.3771966515063,"P1498",34.3311,6.0904,3.74
-91.8463957996779,40.3772116515063,"P1498",34.3231,6.0918,3.74
-91.8463960996778,40.3772268515063,"P1498",34.3261,6.0912,3.75
-91.8463956996778,40.3772417515063,"P1498",34.2581,6.1033,3.75
-91.8463954996779,40.3772567515063,"P1498",34.2881,6.098,3.75
-91.8463951996778,40.3772717515063,"P1498",34.3011,6.0957,3.73
-91.8463951996778,40.3772868515063,"P1498",34.2781,6.0998,3.75
-91.8463951996778,40.3773020515063,"P1498",34.2431,6.106,3.76
-91.8463947996779,40.3773170515063,"P1498",34.1881,6.1158,3.76
-91.8463945996779,40.3773323515063,"P1498",34.2241,6.1094,3.77
-91.8463946996778,40.3773473515063,"P1498",34.2581,6.1033,3.76
-91.8463942996779,40.3773624515063,"P1498",34.2881,6.098,3.76
-91.8463939996778,40.3773775515063,"P1498",34.2731,6.1007,3.76
-91.8463939996778,40.3773927515063,"P1498",34.2631,6.1024,3.77
-91.8463937996779,40.3774077515063,"P1498",34.2791,6.0996,3.76
-91.8463935996779,40.3774226515063,"P1498",34.3261,6.0912,3.75
-91.8463933996779,40.3774378515063,"P1498",34.3301,6.0905,3.75
-91.8463930996779,40.3774529515063,"P1498",34.3511,6.0868,3.75
-91.8463926996778,40.3774679515063,"P1498",34.3601,6.0852,3.75
-91.8463923996779,40.3774829515063,"P1498",34.3421,6.0884,3.74
-91.8463922996778,40.3774980515063,"P1498",34.3101,6.0941,3.75
